Category	Difficulty	Card	CantSay1	CantSay2	CantSay3	CantSay4	CantSay5
Category	Beginner	Lockout/Tagout	Lockout	Tagout	Safety	Workplace	Training
Category	Beginner	Authorized Employee	Authorized	Employee	Safety	Workplace	Training
Category	Beginner	Affected Employee	Affected	Employee	Safety	Workplace	Training
Category	Beginner	Stored Energy	Stored	Energy	Safety	Workplace	Training
Category	Beginner	Verification	Verification	Safety	Workplace	Training	Hazard
Category	Beginner	Group Lockout	Group	Lockout	Safety	Workplace	Training
Category	Beginner	Lock Box	Lock	Box	Safety	Workplace	Training
Lockout/Tagout	Beginner	Disconnect Switch	Disconnect	Switch	Safety	Workplace	Training
Lockout/Tagout	Beginner	Zero Energy State	Zero	Energy	State	Safety	Workplace
Lockout/Tagout	Beginner	Unexpected Startup	Unexpected	Startup	Safety	Workplace	Training
Lockout/Tagout	Intermediate	Conveyor	Conveyor	Safety	Workplace	Training	Hazard
Lockout/Tagout	Intermediate	Coffee Roaster	Coffee	Roaster	Safety	Workplace	Training
Lockout/Tagout	Intermediate	Packaging Machine	Packaging	Machine	Safety	Workplace	Training
Lockout/Tagout	Intermediate	Circuit Breaker	Circuit	Breaker	Safety	Workplace	Training
Lockout/Tagout	Intermediate	Hydraulic Press	Hydraulic	Press	Safety	Workplace	Training
Lockout/Tagout	Intermediate	Pneumatic Line	Pneumatic	Line	Safety	Workplace	Training
Lockout/Tagout	Intermediate	Mixer	Mixer	Safety	Workplace	Training	Hazard
Lockout/Tagout	Intermediate	Valve	Valve	Safety	Workplace	Training	Hazard
Lockout/Tagout	Intermediate	Gearbox	Gearbox	Safety	Workplace	Training	Hazard
Lockout/Tagout	Intermediate	Motor	Motor	Safety	Workplace	Training	Hazard
Lockout/Tagout	Advanced	Jam Clearing	Jam	Clearing	Safety	Workplace	Training
Lockout/Tagout	Advanced	Equipment Repair	Equipment	Repair	Safety	Workplace	Training
Lockout/Tagout	Advanced	Bypassed Interlock	Bypassed	Interlock	Safety	Workplace	Training
Lockout/Tagout	Advanced	Contractor Lockout	Contractor	Lockout	Safety	Workplace	Training
Lockout/Tagout	Advanced	Energy Isolation Device	Energy	Isolation	Device	Safety	Workplace
Hazard Communication	Beginner	Safety Data Sheet	Safety	Data	Sheet	Safety	Workplace
Hazard Communication	Beginner	Pictogram	Pictogram	Safety	Workplace	Training	Hazard
Hazard Communication	Beginner	Signal Word	Signal	Word	Safety	Workplace	Training
Hazard Communication	Beginner	Secondary Container	Secondary	Container	Safety	Workplace	Training
Hazard Communication	Beginner	Chemical Inventory	Chemical	Inventory	Safety	Workplace	Training
Hazard Communication	Beginner	GHS	GHS	Safety	Workplace	Training	Hazard
Hazard Communication	Beginner	Flammable	Flammable	Safety	Workplace	Training	Hazard
Hazard Communication	Beginner	Corrosive	Corrosive	Safety	Workplace	Training	Hazard
Hazard Communication	Beginner	Toxic	Toxic	Safety	Workplace	Training	Hazard
Hazard Communication	Beginner	Chemical Spill	Chemical	Spill	Safety	Workplace	Training
Hazard Communication	Intermediate	Solvent	Solvent	Safety	Workplace	Training	Hazard
Hazard Communication	Intermediate	Degreaser	Degreaser	Safety	Workplace	Training	Hazard
Hazard Communication	Intermediate	Sanitizer	Sanitizer	Safety	Workplace	Training	Hazard
Hazard Communication	Intermediate	Cleaning Chemical	Cleaning	Chemical	Safety	Workplace	Training
Hazard Communication	Intermediate	Chemical Drum	Chemical	Drum	Safety	Workplace	Training
Hazard Communication	Intermediate	Aerosol	Aerosol	Safety	Workplace	Training	Hazard
Hazard Communication	Intermediate	Lubricant	Lubricant	Safety	Workplace	Training	Hazard
Hazard Communication	Intermediate	Acetone	Acetone	Safety	Workplace	Training	Hazard
Hazard Communication	Intermediate	Storage Cabinet	Storage	Cabinet	Safety	Workplace	Training
Hazard Communication	Intermediate	Spray Bottle	Spray	Bottle	Safety	Workplace	Training
Hazard Communication	Advanced	Eye Exposure	Eye	Exposure	Safety	Workplace	Training
Hazard Communication	Advanced	Skin Contact	Skin	Contact	Safety	Workplace	Training
Hazard Communication	Advanced	Unlabeled Container	Unlabeled	Container	Safety	Workplace	Training
Hazard Communication	Advanced	Mixing Chemicals	Mixing	Chemicals	Safety	Workplace	Training
Hazard Communication	Advanced	Hazard Classification	Hazard	Classification	Safety	Workplace	Training
Respiratory Protection	Beginner	Respirator	Respirator	Safety	Workplace	Training	Hazard
Respiratory Protection	Beginner	Fit Test	Fit	Test	Safety	Workplace	Training
Respiratory Protection	Beginner	Medical Evaluation	Medical	Evaluation	Safety	Workplace	Training
Respiratory Protection	Beginner	N95	N95	Safety	Workplace	Training	Hazard
Respiratory Protection	Beginner	Cartridge	Cartridge	Safety	Workplace	Training	Hazard
Respiratory Protection	Beginner	User Seal Check	User	Seal	Check	Safety	Workplace
Respiratory Protection	Beginner	PAPR	PAPR	Safety	Workplace	Training	Hazard
Respiratory Protection	Beginner	Facial Hair	Facial	Hair	Safety	Workplace	Training
Respiratory Protection	Beginner	Exposure Assessment	Exposure	Assessment	Safety	Workplace	Training
Respiratory Protection	Beginner	Dust Collector	Dust	Collector	Safety	Workplace	Training
Respiratory Protection	Intermediate	Coffee Dust	Coffee	Dust	Safety	Workplace	Training
Respiratory Protection	Intermediate	Welding Fume	Welding	Fume	Safety	Workplace	Training
Respiratory Protection	Intermediate	Grinding Operation	Grinding	Operation	Safety	Workplace	Training
Respiratory Protection	Intermediate	Air Monitoring	Air	Monitoring	Safety	Workplace	Training
Respiratory Protection	Intermediate	Ventilation	Ventilation	Safety	Workplace	Training	Hazard
Respiratory Protection	Intermediate	Dust Exposure	Dust	Exposure	Safety	Workplace	Training
Respiratory Protection	Intermediate	Silica	Silica	Safety	Workplace	Training	Hazard
Respiratory Protection	Intermediate	Chemical Vapor	Chemical	Vapor	Safety	Workplace	Training
Respiratory Protection	Intermediate	Airborne Contaminant	Airborne	Contaminant	Safety	Workplace	Training
Respiratory Protection	Intermediate	Assigned Protection Factor	Assigned	Protection	Factor	Safety	Workplace
Respiratory Protection	Advanced	Poor Fit	Poor	Fit	Safety	Workplace	Training
Respiratory Protection	Advanced	Cartridge Changeout	Cartridge	Changeout	Safety	Workplace	Training
Respiratory Protection	Advanced	Respiratory Hazard	Respiratory	Hazard	Safety	Workplace	Training
Respiratory Protection	Advanced	Overexposure	Overexposure	Safety	Workplace	Training	Hazard
Respiratory Protection	Advanced	Air Purifying Respirator	Air	Purifying	Respirator	Safety	Workplace
PPE	Beginner	Safety Glasses	Safety	Glasses	Safety	Workplace	Training
PPE	Beginner	Face Shield	Face	Shield	Safety	Workplace	Training
